"","LotConfig","LandSlope","Neighborhood","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"17","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",0,426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ","TA","Attchd",1970,"Fin",2,480,"TA","Y",0,0,0,0,700,3,2010,"WD","Normal",149000
"18","Inside","Gtl","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab","Fa","Gd","No","Unf",0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ","Po","CarPort",1967,"Unf",2,516,"TA","Y",0,0,0,0,500,10,2006,"WD","Normal",90000
"19","Inside","Gtl","SawyerW","Norm","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ","Fa","Detchd",2004,"Unf",2,576,"TA","Y",0,102,0,0,0,6,2008,"WD","Normal",159000
"20","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",0,525,1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1","Fa","Attchd",1958,"Unf",1,294,"TA","Y",0,0,0,0,0,5,2009,"COD","Abnorml",139000
"21","Corner","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ","Gd","BuiltIn",2005,"RFn",3,853,"TA","Y",240,154,0,0,0,11,2006,"New","Partial",325300
"22","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ","Gd","Attchd",1930,"Unf",1,280,"TA","N",0,0,205,0,0,6,2007,"WD","Normal",139400
"23","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2002,"RFn",2,534,"TA","Y",171,159,0,0,0,9,2008,"WD","Normal",230000
"24","Inside","Gtl","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",0,200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ","TA","Attchd",1976,"Unf",2,572,"TA","Y",100,110,0,0,0,6,2007,"WD","Normal",129900
"25","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",668,204,1060,"GasA","Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ","TA","Attchd",1968,"Unf",1,270,"TA","Y",406,90,0,0,0,5,2010,"WD","Normal",154000
"26","Corner","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,1566,1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2007,"RFn",3,890,"TA","Y",0,56,0,0,0,7,2009,"WD","Normal",256300
"27","Corner","Gtl","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",486,180,900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ","Fa","Detchd",2005,"Unf",2,576,"TA","Y",222,32,0,0,0,5,2010,"WD","Normal",134800
"28","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2008,"RFn",3,772,"TA","Y",0,50,0,0,0,5,2010,"WD","Normal",306000
"29","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",0,207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ","Gd","Attchd",1957,"RFn",1,319,"TA","Y",288,258,0,0,0,12,2006,"WD","Normal",207500
"30","Inside","Gtl","BrkSide","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,520,520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ","Po","Detchd",1920,"Unf",1,240,"TA","Y",49,0,87,0,0,5,2008,"WD","Normal",68500
"31","Inside","Gtl","IDOTRR","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,649,649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ","Fa","Detchd",1920,"Unf",1,250,"Fa","N",0,54,172,0,0,7,2008,"WD","Normal",40000
"32","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,1228,1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ","Fa","Attchd",1966,"Unf",1,271,"TA","Y",0,65,0,0,0,6,2008,"WD","Normal",149350
"33","Corner","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,1234,1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ","Gd","Attchd",2007,"RFn",2,484,"TA","Y",0,30,0,0,0,1,2008,"WD","Normal",179900
"34","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",0,380,1398,"GasA","Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ","Gd","Attchd",1959,"RFn",2,447,"TA","Y",0,38,0,0,0,4,2010,"WD","Normal",165500
"35","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",0,408,1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ","Gd","Attchd",2005,"Fin",2,556,"TA","Y",203,47,0,0,0,8,2007,"WD","Normal",277500
"36","Inside","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,1117,1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ","Gd","BuiltIn",2004,"Fin",3,691,"TA","Y",113,32,0,0,0,9,2006,"WD","Normal",309000
"37","Corner","Gtl","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,1097,1097,"GasA","Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ","Ex","Attchd",1995,"Unf",2,672,"TA","Y",392,64,0,0,0,6,2009,"WD","Normal",145000
"38","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",0,84,1297,"GasA","Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ","TA","Attchd",1954,"Fin",2,498,"TA","Y",0,0,0,0,0,10,2009,"WD","Normal",153000
"39","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",0,326,1057,"GasA","TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ","Fa","Detchd",1953,"Unf",1,246,"TA","Y",0,52,0,0,0,1,2010,"WD","Abnorml",109000
"40","Inside","Gtl","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc","Fa","Gd","No","Unf",0,0,0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ","Fa","2Types",2009,"Fin",0,0,"Po","N",0,0,0,0,0,6,2008,"WD","AdjLand",82000
"41","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",0,445,1088,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ","TA","Attchd",1965,"RFn",2,440,"TA","Y",0,138,0,0,0,12,2006,"WD","Abnorml",160000
"42","Inside","Gtl","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",0,383,1350,"GasA","Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ","Gd","Attchd",1959,"RFn",1,308,"TA","P",0,104,0,0,0,7,2007,"WD","Normal",170000
"43","CulDSac","Gtl","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",93,0,840,"GasA","Gd","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ","Po","Attchd",1983,"RFn",2,504,"Gd","Y",240,0,0,0,0,12,2007,"WD","Normal",144000
"44","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",491,167,938,"GasA","TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ","Po","Detchd",1977,"Unf",1,308,"TA","Y",145,0,0,0,0,7,2008,"WD","Normal",130250
"45","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",506,465,1150,"GasA","Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ","Gd","Attchd",1959,"RFn",1,300,"TA","Y",0,0,0,0,0,5,2006,"WD","Normal",141000
"46","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ","Gd","Attchd",2005,"RFn",2,576,"TA","Y",196,82,0,0,0,2,2010,"WD","Normal",319900
"47","CulDSac","Gtl","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",0,83,1434,"GasA","Ex","Y","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"Typ","Ex","Attchd",2003,"RFn",2,670,"TA","Y",168,43,0,0,0,8,2009,"WD","Abnorml",239686
"48","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",0,1632,1656,"GasA","Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ","Fa","Attchd",2006,"RFn",3,826,"TA","Y",0,146,0,0,0,7,2007,"WD","Normal",249700
"49","Inside","Gtl","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,736,736,"GasA","Gd","Y","SBrkr",736,716,0,1452,0,0,2,0,2,3,"TA",8,"Typ","Po","Detchd",2007,"Unf",0,0,"Po","N",0,0,102,0,0,6,2009,"New","Partial",113000
"50","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",0,192,955,"GasA","Ex","Y","SBrkr",955,0,0,955,1,0,1,0,3,1,"TA",6,"Typ","Gd","Attchd",1966,"Unf",1,386,"TA","Y",0,0,0,0,0,1,2007,"WD","Normal",127000
"51","Corner","Gtl","Gilbert","Norm","1Fam","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",0,612,794,"GasA","Gd","Y","SBrkr",794,676,0,1470,0,1,2,0,3,1,"TA",6,"Typ","TA","Attchd",1997,"Fin",2,388,"TA","Y",0,75,0,0,0,7,2007,"WD","Normal",177000
"52","Inside","Gtl","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,816,816,"GasA","TA","Y","SBrkr",816,0,360,1176,0,0,1,0,3,1,"TA",6,"Typ","Gd","Detchd",1985,"Unf",2,528,"TA","Y",112,0,0,0,400,9,2006,"WD","Normal",114500
"53","Corner","Mod","IDOTRR","Norm","Duplex","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ",712,0,816,"GasA","TA","N","SBrkr",816,0,0,816,1,0,1,0,2,1,"TA",5,"Typ","Po","CarPort",1963,"Unf",2,516,"TA","Y",106,0,0,0,0,5,2010,"WD","Normal",110000
"54","Inside","Gtl","Veenker","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","TA","Gd","GLQ",0,32,1842,"GasA","Gd","Y","SBrkr",1842,0,0,1842,2,0,0,1,0,1,"Gd",5,"Typ","Gd","Attchd",1981,"Fin",3,894,"TA","Y",857,72,0,0,0,11,2006,"WD","Normal",385000
"55","Inside","Mod","NAmes","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",0,0,384,"GasA","TA","Y","SBrkr",1360,0,0,1360,0,0,1,0,3,1,"TA",6,"Min1","TA","Detchd",1962,"Unf",2,572,"TA","Y",0,50,0,0,0,2,2007,"WD","Normal",130000
"56","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","TA","TA","No","BLQ",0,935,1425,"GasA","Gd","Y","SBrkr",1425,0,0,1425,0,0,2,0,3,1,"TA",7,"Typ","Gd","Attchd",1964,"RFn",2,576,"TA","Y",0,0,0,407,0,7,2008,"WD","Normal",180500
"57","Inside","Gtl","Somerst","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","TA","No","GLQ",0,321,970,"GasA","Ex","Y","SBrkr",983,756,0,1739,1,0,2,1,3,1,"Gd",7,"Typ","TA","Attchd",1999,"Fin",2,480,"TA","Y",115,0,0,0,0,8,2009,"WD","Abnorml",172500
"58","Corner","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,860,860,"GasA","Ex","Y","SBrkr",860,860,0,1720,0,0,2,1,3,1,"Gd",7,"Typ","TA","Attchd",2004,"RFn",2,565,"TA","Y",0,70,0,0,0,8,2006,"WD","Normal",196500
"59","CulDSac","Gtl","StoneBr","Norm","1Fam","2Story",10,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",1031,"Ex","TA","PConc","Ex","TA","Gd","Unf",0,1410,1410,"GasA","Ex","Y","SBrkr",1426,1519,0,2945,0,0,3,1,3,1,"Gd",10,"Typ","Gd","BuiltIn",2006,"Fin",3,641,"TA","Y",192,0,37,0,0,10,2006,"New","Partial",438780
"60","Inside","Gtl","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",0,148,780,"GasA","Ex","Y","SBrkr",780,0,0,780,0,0,1,0,2,1,"TA",4,"Typ","Ex","Detchd",1973,"Unf",1,352,"TA","Y",196,0,0,0,0,1,2008,"WD","Normal",124900
"61","Inside","Gtl","SawyerW","Norm","1Fam","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",0,217,1158,"GasA","Ex","Y","SBrkr",1158,0,0,1158,1,0,1,1,3,1,"Gd",5,"Typ","Fa","Detchd",2006,"Unf",2,576,"TA","Y",0,50,0,0,0,5,2006,"New","Partial",158000
"62","Inside","Gtl","IDOTRR","Norm","1Fam","2.5Unf",5,7,1920,1996,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","No","Unf",0,530,530,"GasA","TA","N","SBrkr",581,530,0,1111,0,0,1,0,3,1,"Fa",6,"Typ","Fa","Detchd",1935,"Unf",1,288,"TA","N",0,0,144,0,0,3,2007,"WD","Normal",101000
"63","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","Gd","Mn","GLQ",0,1346,1370,"GasA","Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ","Gd","Attchd",2006,"RFn",2,484,"TA","Y",120,49,0,0,0,10,2007,"WD","Normal",202500
"64","Inside","Gtl","OldTown","Feedr","1Fam","2Story",7,6,1921,1950,"Gable","Stucco","Stucco","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,576,576,"GasA","Gd","Y","SBrkr",902,808,0,1710,0,0,2,0,3,1,"TA",9,"Typ","Gd","Detchd",1990,"Unf",2,480,"TA","Y",12,11,64,0,0,4,2010,"WD","Normal",140000
"65","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,1997,1998,"Gable","VinylSd","VinylSd","BrkFace",573,"TA","TA","PConc","Gd","TA","No","GLQ",0,318,1057,"GasA","Ex","Y","SBrkr",1057,977,0,2034,1,0,2,1,3,1,"Gd",8,"Typ","TA","Attchd",1998,"RFn",2,645,"TA","Y",576,36,0,0,0,2,2009,"WD","Normal",219500
